name,link,description,rating value,review count,reviews
Tangerine & Vanilla,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/tangerine-vanilla/ORCL_1653332.html,"This is a Citrus fragrance. Ripe and juicy tangerine, sweetened with vanilla and a sprinkle of sugar—fresh as an orchard breeze. Top notes: Sparkly Tangerine, Mandarin Bellini. Middle notes: Orchard Nectarine, Rose. Base notes: Creamy Vanilla, Sugar. Top note is the initial impression of the fragrance, middle note is the main body of the scent and base is its final impression.",4.5,1087,"[{""datePublished"": ""2025-03-11T06:30:07.000+00:00"", ""reviewBody"": ""Subtle sweet smell, would have liked more tangerine smell"", ""ratingValue"": 4}, {""datePublished"": ""2025-03-06T02:00:13.000+00:00"", ""reviewBody"": ""The combination of Citrus and Vanilla is excellent. Very warm and inviting."", ""ratingValue"": 5}, {""datePublished"": ""2025-02-27T04:15:12.000+00:00"", ""reviewBody"": ""Nice light smell they are great when i burn in two different rooms at the same time."", ""ratingValue"": 5}, {""datePublished"": ""2025-02-23T20:17:05.000+00:00"", ""reviewBody"": ""Fills my large room, very fragrant smell May also be one of my favorite smells"", ""ratingValue"": 5}, {""datePublished"": ""2025-02-16T15:45:24.000+00:00"", ""reviewBody"": ""Wow this was a delightful new find for my family! The wonderful crisp scent of tangerine with the vanilla lightly topping it off was sensational! It brightens any home with the beautiful light orange peach color but also it lifts the room makes it feel light airy fresh and inviting! It is not overpowering at all and I like it all Year long! Fabulous!!"", ""ratingValue"": 5}, {""datePublished"": ""2025-02-23T20:17:12.000+00:00"", ""reviewBody"": ""Been wanting to try this for some time and so glad I got it."", ""ratingValue"": 5}, {""datePublished"": ""2025-02-23T20:17:17.000+00:00"", ""reviewBody"": ""Bright citrus with a creamy touch of vanilla. Smells clean and uplifting. A mood booster, but not overly citrus and not overly sweet. I like the blend."", ""ratingValue"": 5}, {""datePublished"": ""2025-01-23T22:02:30.000+00:00"", ""reviewBody"": ""This smells so Summery! It's citrusy and fresh. I don't get any hints of vanilla, but that's ok!"", ""ratingValue"": 5}]"
Mango Peach Salsa,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/mango-peach-salsa/ORCL_1114681.html,"This is a Fruity fragrance. Sweet and zesty...juicy mangoes and peaches livened with citrus, ginger flowers and pink pepper. Top notes: Ripened Mango, Lime, Nectarine, Orange, Grapefruit. Middle notes: Peach, Ginger Flowers, Pink Pepper. Base notes: Clean Musk. Top note is the initial impression of the fragrance, middle note is the main body of the scent and base is its final impression.",4.6,1156,"[{""datePublished"": ""2025-03-09T12:01:38.000+00:00"", ""reviewBody"": ""Great scent, nice and fruity, not too strong, a favorite"", ""ratingValue"": 5}, {""datePublished"": ""2025-02-23T22:00:18.000+00:00"", ""reviewBody"": ""I really enjoy this scent. It's fresh and fruity without being sicky sweet."", ""ratingValue"": 5}, {""datePublished"": ""2025-01-28T09:01:23.000+00:00"", ""reviewBody"": ""I just love this scent. Its fruity yet intoxicatingly alluring. Makes my room smell like I'm on an island eating fresh fruit. I never tire buying this candle."", ""ratingValue"": 5}, {""datePublished"": ""2025-01-28T09:01:35.000+00:00"", ""reviewBody"": ""Very nice sent and it\u2019s strong enough to really smell it!"", ""ratingValue"": 5}, {""datePublished"": ""2025-01-28T09:01:46.000+00:00"", ""reviewBody"": ""Not as potent of a scent as the others we have purchased but still nice"", ""ratingValue"": 5}, {""datePublished"": ""2025-01-28T09:02:02.000+00:00"", ""reviewBody"": ""This is my favorite scent! Fills the room with a fruity scent reminiscent of fresh made jam. Nice balance of sweet and citrus. Large jar always burns best, in my opinion."", ""ratingValue"": 5}, {""datePublished"": ""2025-01-28T09:02:30.000+00:00"", ""reviewBody"": ""This candle not only has a vibrant color of mango but truly smells like I cut up mango in my kitchen! It smells so good with peach coming through the mango scent even before it\u2019s lit! This was a favorite of my daughter so I gifted to her and she loves it! Great gift great scent great color !"", ""ratingValue"": 5}, {""datePublished"": ""2025-01-28T09:02:42.000+00:00"", ""reviewBody"": ""Great fragrance, great sale prices, quick delivery"", ""ratingValue"": 5}]"
Beach Walk®,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/beach-walk/ORCL_1129788.html,"This is a Floral fragrance. Stroll along a sandy shore where the ocean sparkles and cool breezes refresh you. In the air, notes of shimmering salt water, sea musk, and tangerine inspire you to unwind. Top notes: Ozone, Tangerine, Clementine. Middle notes: Sea Moss, Salt Water, Orange Flower. Base notes: Musk, Orange Blossom. Top note is the initial impression of the fragrance, middle note is the main body of the scent and base is its final impression.",4.7,1228,"[{""datePublished"": ""2025-03-11T11:02:13.000+00:00"", ""reviewBody"": ""I bought a small candle with this fragrance!  It was fabulous fragrance!  Can\u2019t wait to get my candle!!"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-08T18:15:19.000+00:00"", ""reviewBody"": ""This is one of my favorite scents. I know it's a summery name the scent is just so clean"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-07T23:30:14.000+00:00"", ""reviewBody"": ""Love the color and Fragance, longevity, packaging,\nVersatility!"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-07T22:07:54.000+00:00"", ""reviewBody"": ""This is my favorite scent.  Crisp, clean not sweet!"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-07T15:01:40.000+00:00"", ""reviewBody"": ""I love this scent! It is fresh and subtle. My husband noticed it - and that's saying something! Ha ! Thank you!"", ""ratingValue"": 5}, {""datePublished"": ""2025-02-28T15:03:33.000+00:00"", ""reviewBody"": ""I just bought this candle and started burning it.  It smells so good I can't turn it off.  I love the color too, matches my decor in my home.  highly recommend."", ""ratingValue"": 5}, {""datePublished"": ""2025-02-21T22:45:34.000+00:00"", ""reviewBody"": ""Nice scent. Got on sale so I got a great deal. Love it."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-07T09:42:51.000+00:00"", ""reviewBody"": ""I received this as a gift and loved it.  So, I ordered two!  First of all, the candle is no longer a light green but blue.  No big deal. don't really care. But the fragrance is barely there.  In fact, you can't smell it at all.  First, I thought it was because it was cold from shipping. But no, it just doesn't have the same amount of fragrance.  So disappointed. Have noticed some of my other favorites aren't as strong either.  Not sure what is happening to yankee,"", ""ratingValue"": 2}]"
Black Cherry,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/black-cherry/ORCL_1129749.html,"This is a Fruity fragrance. The rich, sweet and tart scent of deliciously ripe black cherries. The fragrance gains extra facets with touches of cinnamon and almond notes. Top notes: Cherry, Almond. Middle notes: Cherry, Cinnamon. Base notes: Sweet Cherry. Top note is the initial impression of the fragrance, middle note is the main body of the scent and base is its final impression.",4.7,1769,"[{""datePublished"": ""2025-03-05T01:00:17.000+00:00"", ""reviewBody"": ""Smells delicious yet I can have it whenever I want \ud83d\ude0b"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-03T01:44:00.000+00:00"", ""reviewBody"": ""I bought this candle for my mother who absolutely LOVES black cherry candles. She said it smells amazing!!"", ""ratingValue"": 5}, {""datePublished"": ""2025-02-22T21:30:19.000+00:00"", ""reviewBody"": ""A rich, warm aroma perfect to wrap around yourself on a cold winter day.  Cherries never smelled so fragrant!"", ""ratingValue"": 5}, {""datePublished"": ""2025-02-17T00:48:18.000+00:00"", ""reviewBody"": ""I couldn\u2019t walk out of the store without this candle. Placed an online order to pick up in store and I always find myself wandering around to check new scents, I tested this one and knew it was coming home with me."", ""ratingValue"": 5}, {""datePublished"": ""2025-01-26T23:45:15.000+00:00"", ""reviewBody"": ""Bought this one for my husband but it's becoming a favorite for both of us."", ""ratingValue"": 5}, {""datePublished"": ""2025-01-25T23:00:17.000+00:00"", ""reviewBody"": ""Get the Vineyard before their Gone!!\nI'm going to buy'em Up!"", ""ratingValue"": 5}, {""datePublished"": ""2025-01-27T15:03:32.000+00:00"", ""reviewBody"": ""I bought my Black Cherry candle a LONG time ago and it even made a cross country move with me. Once I was settled I pulled it out, not thinking there was going to be much scent left - boy was I wrong! My whole house smelled like a cherry orchard! I don\u2019t have a YC store near me, so it is always such a joy when I select a candle and the scent is intense and actually sticks around while the whole candle burns. This one fits that perfectly. If you love fresh, fruity scents - don\u2019t pass this one by!"", ""ratingValue"": 5}, {""datePublished"": ""2025-01-21T04:00:17.000+00:00"", ""reviewBody"": ""OMG ALL MY FAMILY MEMBERS LOVE THE BLACK CHERRY CANDLE  WE HAD THE CANDLE ON ALL DAY DURING TEXANS FOOTBALL"", ""ratingValue"": 5}]"
Belgian Waffles - Returning Favorite,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/belgian-waffles---returning-favorite/ORCL_1731731.html,"This is a Sweet & Spicy fragrance. Light and airy, warm and golden brown — a crisp lattice cradling melted butter — the classic brunch favorite.​ Top notes: Toasted Pecans, Vanilla​​. Middle notes: Waffle Batter, Dash of Cinnamon, Melted Butter​​. Base notes: Whipped Cream. Top note is the initial impression of the fragrance, middle note is the main body of the scent and base is its final impression.",4.7,543,"[{""datePublished"": ""2025-03-11T07:45:32.000+00:00"", ""reviewBody"": ""smelled ok, not too strong. Not sure of smell compared to waffles"", ""ratingValue"": 4}, {""datePublished"": ""2025-03-07T18:15:28.000+00:00"", ""reviewBody"": ""I was so surprised as to how this smells. I bought 2 more . But a well and lasts"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-07T16:30:22.000+00:00"", ""reviewBody"": ""I absolutely LOVE this candle! It makes my house smell cozy and warm."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-08T02:45:18.000+00:00"", ""reviewBody"": ""I love the scent. Anything with vanilla is favored by me. On a cold, snowy day like today, its so nice to have this candle burning."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-05T15:15:55.000+00:00"", ""reviewBody"": ""Belgian waffles smells delicious.  I recommend this candle"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-03T16:00:53.000+00:00"", ""reviewBody"": ""Belgian waffles smells delicious and I recommend this candle"", ""ratingValue"": 5}, {""datePublished"": ""2025-02-24T18:45:18.000+00:00"", ""reviewBody"": ""Smells amazing! Burns even, takes a long time burn"", ""ratingValue"": 5}, {""datePublished"": ""2025-02-20T23:45:18.000+00:00"", ""reviewBody"": ""I dont know who would not love this scent.  It smells exactly as it says.  This is a year long scent. Its one of my new favorite."", ""ratingValue"": 5}]"
Sicilian Lemon,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/sicilian-lemon/ORCL_1529990.html,"This is a Citrus fragrance. So fresh and full of zest, like a bright day exploring hillside villages with sweet, unexpected turns. Top notes: Lemon Zest. Middle notes: Tart Lemon. Base notes: Vanilla, Sugar. Top note is the initial impression of the fragrance, middle note is the main body of the scent and base is its final impression.",4.5,1554,"[{""datePublished"": ""2025-03-08T22:00:16.000+00:00"", ""reviewBody"": ""A bunch of fresh cut lemons.Very refreshing and beautiful."", ""ratingValue"": 4}, {""datePublished"": ""2025-03-09T17:31:52.000+00:00"", ""reviewBody"": ""I love the smell of lemons. And I e tried other scents and other brands. This has a very nice light scent, and has a lemon fragrance that doesn\u2019t smell fake or overdone. Burns nice and still gives off fragrance after the flame is out."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-06T22:00:18.000+00:00"", ""reviewBody"": ""Love the smell I put this candle in my bathroom love"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-06T14:26:22.000+00:00"", ""reviewBody"": ""Bought 2 Sicilian lemon, very little smell, maybe none."", ""ratingValue"": 1}, {""datePublished"": ""2025-02-28T23:15:15.000+00:00"", ""reviewBody"": ""This is a lovely fresh lemon scent that is the perfect strength !"", ""ratingValue"": 5}, {""datePublished"": ""2025-02-27T04:00:12.000+00:00"", ""reviewBody"": ""Lemon fresh household smell very nice in my kitchen."", ""ratingValue"": 4}, {""datePublished"": ""2025-02-19T16:00:26.000+00:00"", ""reviewBody"": ""Wonderful exhilarating scent!!\nPurchased on sale, excellent quality."", ""ratingValue"": 5}, {""datePublished"": ""2025-02-20T18:28:34.000+00:00"", ""reviewBody"": ""This is one of my favorites from Yankee Candle. Throw is good. Scent is good. My go to scent for spring and summer."", ""ratingValue"": 5}]"
Balsam & Cedar,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/balsam-cedar/ORCL_1062314.html,"This is a Woody fragrance. Balsam & Cedar is a timeless classic for a reason. Pine balsam scents mingle with brisk cedarwood, evoking a stroll through the forest, while nuanced base notes of warm amber offer a sense of comfort and calm. This deep, woody fragrance creates a feeling of groundedness and connection to nature. Top notes: Crisp Citrus, Herbs, Red Berry. Middle notes: Pine Balsam, Cedar, Sandalwood. Base notes: Vanilla, Warm Amber, Musk. Top note is the initial impression of the fragrance, middle note is the main body of the scent and base is its final impression.",4.7,8439,"[{""datePublished"": ""2025-03-08T18:30:25.000+00:00"", ""reviewBody"": ""I love this scent. I don\u2019t just burn it during a particular season. I like it all year round. The scent is not overwhelming. It\u2019s good just to add a nice fragrance to my home. I own 2 dogs so it also helps cover the doggy smell a bit."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-07T22:00:17.000+00:00"", ""reviewBody"": ""Love it! Can hardly wait for the Holiday Season to come again. However, we do enjoy this scent on any given day!"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-06T05:30:10.000+00:00"", ""reviewBody"": ""Has lasted me since I purchased before Christmas, were in march now and it's still going strong. This is the perfect scent to keep anyone in the holiday spirit year round lol"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-02T18:15:25.000+00:00"", ""reviewBody"": ""What can I say that hasn't been said before about this candle? I would like to point out that this scent is not just for Christmas in my house, we enjoy it year round. It adds to the night air, on our patio on summer night's."", ""ratingValue"": 5}, {""datePublished"": ""2025-02-22T05:30:13.000+00:00"", ""reviewBody"": ""I believe this candle years ago came in a wood wick style, or something extremely close to it that was pine scented- quality sound and smell. This was when wood wicks had just started to become really popular and I\u2019ll never forget how beautiful the crackling sounded and how long it lasted too. This is a great winter/christmas candle!! It is a little strong but definitely a pine lovers must. I compare every pine candle to this one whenever I shop and this one just keeps winning! Love that it burns all the way!"", ""ratingValue"": 5}, {""datePublished"": ""2025-02-22T02:00:14.000+00:00"", ""reviewBody"": ""Woody scent that smells like a Christmas tree. Perfect for the winter"", ""ratingValue"": 5}, {""datePublished"": ""2025-02-21T19:15:31.000+00:00"", ""reviewBody"": ""Product always arrives in perfect condition. I enjoy the fragrance year round."", ""ratingValue"": 5}, {""datePublished"": ""2025-02-21T02:45:16.000+00:00"", ""reviewBody"": ""Love Love Love this fragrance. Will keep buying whenever I run out."", ""ratingValue"": 5}]"
Warm Luxe Cashmere,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/warm-luxe-cashmere/ORCL_1556004.html,"This is a Fresh & Clean fragrance. Wrap yourself in a soft, luxurious cashmere. The creamy scents of vanilla, velvet petals, sandalwood, and amber silk create a sensuous fragrance experience you can almost feel. Top notes: Rich Vanilla Cream. Middle notes: Winter Iris, Velvet Petals, Warm Cashmere. Base notes: Amber Silk, Creamy Sandalwood, Patchouli. Top note is the initial impression of the fragrance, middle note is the main body of the scent and base is its final impression.",4.6,1352,"[{""datePublished"": ""2025-03-11T15:01:17.000+00:00"", ""reviewBody"": ""I sent a candle to a friend that had just lost her mother. I wrote a heartfelt message to be included and you didn\u2019t send it in the box.  She wondered for weeks who sent the candle."", ""ratingValue"": 1}, {""datePublished"": ""2025-03-11T11:02:13.000+00:00"", ""reviewBody"": ""Smells like a heated blanket & warm hug! Just brings prace to the space."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-08T21:15:18.000+00:00"", ""reviewBody"": ""THis is one of favorite go-tos in the winter time.  It smells amazing & has a beautiful blue color (perfect for my kitchen).  I highly recommend this scent!"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-07T01:15:18.000+00:00"", ""reviewBody"": ""Beautiful scent.  The only way I can explain  this scent is beautiful.  You walk into a room and you just automatically think it smells so pretty in here.  It\u2019s is a very soft smell"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-06T17:30:33.000+00:00"", ""reviewBody"": ""The smell is amazing, it feels warm and cozy. It's strong and lasting."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-05T00:30:22.000+00:00"", ""reviewBody"": ""This scent is so cozy and comforting. One of my favorites."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-02T02:00:13.000+00:00"", ""reviewBody"": ""At all time favorites best candle ever for any time of year it's not over powering but yet your whole house smells nice. *****"", ""ratingValue"": 5}, {""datePublished"": ""2025-02-26T02:45:22.000+00:00"", ""reviewBody"": ""Got this fragrance in the candle and other forms for my new apartment! It has an earthy yet light quality to it that I love. It is a good fragrance for any time of year. Definitely my new go-to."", ""ratingValue"": 5}]"
New England Blueberry,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/new-england-blueberry/ORCL_1584986.html,"This is a Fruity fragrance. A bright, sweet scent of summer — lush, ripe blueberries straight from down east. Top notes: Wild Blueberry. Middle notes: Blueberry Preserve. Base notes: Cane Sugar. Top note is the initial impression of the fragrance, middle note is the main body of the scent and base is its final impression.",4.6,1043,"[{""datePublished"": ""2025-03-11T15:30:28.000+00:00"", ""reviewBody"": ""I burned this with the plain blueberry candle and my whole downstairs smelled like pie all day \u2026 love it!! Yankee does really well with the fruity scents\u2026"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-09T07:30:06.000+00:00"", ""reviewBody"": ""My favourite fragrance, burns evenly and many friends come in and love the smell too"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-03T14:48:39.000+00:00"", ""reviewBody"": ""I got this candle because it smelled so good and if I had more money I would have bought more candles"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-05T00:30:22.000+00:00"", ""reviewBody"": ""This has been my go to candle for 20 years now. I love it!"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-07T16:09:41.000+00:00"", ""reviewBody"": ""I love this scent it reminds me of Jordan Marsh blueberry muffins."", ""ratingValue"": 5}, {""datePublished"": ""2025-02-14T06:00:10.000+00:00"", ""reviewBody"": ""This candle has a lot of essential oil in it. The aroma fills a medium sized room nicely, and has a rich blueberry scent that is quite authentic."", ""ratingValue"": 5}, {""datePublished"": ""2025-02-13T19:47:58.000+00:00"", ""reviewBody"": ""Love the Blueberry scent one of my favorites love!"", ""ratingValue"": 5}, {""datePublished"": ""2025-02-14T17:41:02.000+00:00"", ""reviewBody"": ""This is my absolute favorite. I\u2019m picky with scents because the wrong one can make me feel ill very quickly. But this one I can smell all day and still want more. I\u2019m not sure how to describe it because it\u2019s not like any others except possibly Vineyard. It\u2019s not super sweet like other berry scents and it gives off just the right amount of fragrance without being overwhelming. I just love it."", ""ratingValue"": 5}]"
Flowers in the Sun,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/flowers-in-the-sun/ORCL_1351652.html,"This is a Floral fragrance. Like a walk in the garden with sunlight spilling over all the golden colors — a remarkably bright scent of sweet blossoms. Top notes: Lemon, Orange. Middle notes: Apple Blossoms, Pink Water Lilies. Base notes: Sweet Airy Musk. Top note is the initial impression of the fragrance, middle note is the main body of the scent and base is its final impression.",4.4,580,"[{""datePublished"": ""2025-03-07T16:45:58.000+00:00"", ""reviewBody"": ""So good! Now that I\u2019m getting more into florals, this scent has a lovely pineapple/floral note, I don\u2019t know what the floral note is, but I like it."", ""ratingValue"": 5}, {""datePublished"": ""2025-02-28T15:58:11.000+00:00"", ""reviewBody"": ""Not strong enough for my liking but for someone that like a more subtle fragrance this is perfect."", ""ratingValue"": 3}, {""datePublished"": ""2025-02-14T08:00:04.000+00:00"", ""reviewBody"": ""A light, delicate scent with a hint of sweetness. Smells like spring!"", ""ratingValue"": 5}, {""datePublished"": ""2025-02-14T00:15:20.000+00:00"", ""reviewBody"": ""The scent reminds me of spring flowers and sunshine"", ""ratingValue"": 5}, {""datePublished"": ""2025-02-03T16:30:46.000+00:00"", ""reviewBody"": ""It reminds me of sitting in a meadow of flowers with sun shining on you"", ""ratingValue"": 5}, {""datePublished"": ""2025-01-31T01:45:19.000+00:00"", ""reviewBody"": ""This scent is perfect for the summer and smell clean"", ""ratingValue"": 5}, {""datePublished"": ""2025-01-12T17:00:30.000+00:00"", ""reviewBody"": ""really nice and light, the spring scents are just really clean for the change of the season!"", ""ratingValue"": 5}, {""datePublished"": ""2025-01-03T16:01:01.000+00:00"", ""reviewBody"": ""One of my favorites!   Light, not overpowering...just a very nice scent."", ""ratingValue"": 4}]"
Dried Lavender & Oak,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/dried-lavender-oak/ORCL_1623631.html,"This is a Woody fragrance. At an outdoor farmer’s market, the scents of hand-tied bunches of lavender combine with woodsy notes and spices. Enriching the scene are top notes of peppercorn and a base of cedarwood and vanilla. Top notes: White Peppercorn, Lavender, Bergamot​. Middle notes: Davana, White Flowers, Moss​. Base notes: Vanilla, Patchouli, Cedarwood​. Top note is the initial impression of the fragrance, middle note is the main body of the scent and base is its final impression.",4.6,1754,"[{""datePublished"": ""2025-03-09T21:30:26.000+00:00"", ""reviewBody"": ""This fragrance reminds me of the woods near my house"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-08T05:45:11.000+00:00"", ""reviewBody"": ""Pleasurable and beautiful smell all around very clean."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-07T01:00:14.000+00:00"", ""reviewBody"": ""I love this scent and how it carries throughout my house"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-08T15:17:00.000+00:00"", ""reviewBody"": ""I would definitely recommend this to a friend I use this in my bedroom I love the smell of the candle"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-03T00:00:18.000+00:00"", ""reviewBody"": ""My second favorite candle next to Japanese blossom"", ""ratingValue"": 5}, {""datePublished"": ""2025-02-24T15:18:14.000+00:00"", ""reviewBody"": ""My son picked this scent out for me a few years ago and it has become a staple. Such a pleasant scent."", ""ratingValue"": 5}, {""datePublished"": ""2025-02-16T19:00:30.000+00:00"", ""reviewBody"": ""This is one of my ultimate favorites!! It goes through the whole house and I love it!!!!"", ""ratingValue"": 5}, {""datePublished"": ""2025-02-11T01:15:17.000+00:00"", ""reviewBody"": ""I love the scent of my lavender Oak Yankee candle!! It seems to soothe my soul. Definitely recommend it."", ""ratingValue"": 5}]"
Midnight Jasmine,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/midnight-jasmine/ORCL_1129548.html,"This is a Floral fragrance. A seductively lush perfume of water jasmine, sweet honeysuckle, neroli, and mandarin blossom. Top notes: Neroli, Orantique, Mandarin Blossom, Yellow Grapefruit. Middle notes: Grapefruit. Base notes: Musk, Powdery Notes. Top note is the initial impression of the fragrance, middle note is the main body of the scent, and base is its final impression. Midnight Jasmine is Floral.",4.7,1309,"[{""datePublished"": ""2025-03-11T16:52:22.000+00:00"", ""reviewBody"": ""Unlike the other fragrances , scent keeps you interested."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-07T15:17:56.000+00:00"", ""reviewBody"": ""Great for when you have the windows open on a spring day so it goes throughout the house. Each scent so far is pretty well saturated instead of just on the surface like other candles. Scent remains continuous throughout burn time. Love that about Yankee."", ""ratingValue"": 4}, {""datePublished"": ""2025-03-07T22:00:17.000+00:00"", ""reviewBody"": ""This scent always sets a mood.  I like it in between winter and spring, not really sweet floral, letting you know spring is coming"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-02T17:00:36.000+00:00"", ""reviewBody"": ""One of my all time favorites. This should be available at all times of the year"", ""ratingValue"": 5}, {""datePublished"": ""2025-02-24T15:21:48.000+00:00"", ""reviewBody"": ""I do like the smell but you can't really smell it in the air.  I wish it was stronger."", ""ratingValue"": 3}, {""datePublished"": ""2025-02-23T04:15:15.000+00:00"", ""reviewBody"": ""Great smelling candle. Long staying scent and clean burning!"", ""ratingValue"": 5}, {""datePublished"": ""2025-02-07T04:45:10.000+00:00"", ""reviewBody"": ""This candle smells so good! Yoy will nit regret it!"", ""ratingValue"": 5}, {""datePublished"": ""2025-01-28T16:02:24.000+00:00"", ""reviewBody"": ""This is for me a beautiful scent BUT I love the scent of jasmine when it comes in to bloom. I do think that it is a strong floral scent and if you don\u2019t like Jasmine or strong florals it may be too much for you. For me it is like I\u2019m walking through a tropical garden the Jasmine scent is pure calming peaceful and clean. The color is pure white like the flowers and I always buy the large jars because I find them safer to use in my home and they give me the long burn time. If you love flowers or know someone who does try this one! And if you need a scent that has calming this could also be your new favorite!"", ""ratingValue"": 5}]"
Meadow Showers,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/meadow-showers/ORCL_1230646.html,"This is a Fresh & Clean fragrance. Daydreaming of a quiet escape…the naturally tranquil and airy scent of fresh raindrops on blades of green grass. -Fragrance Notes: -Top: Green Notes, Ozone, Zesty Citrus -Mid: Eucalyptus, Hyacinth, Ylangylang Petals -Base: Cedar Wood, Violet Leaf -Top note is the initial impression of the fragrance, middle note is the main body of the scent and base is its final impression.",4.6,909,"[{""datePublished"": ""2025-03-11T13:01:04.000+00:00"", ""reviewBody"": ""This candle has a super fresh scent with a light touch of freshly clipped grass"", ""ratingValue"": 4}, {""datePublished"": ""2025-03-10T23:03:28.000+00:00"", ""reviewBody"": ""Love - spring fresh scent. Great for when you have the windows open on a spring day so it goes throughout the house. Each scent so far is pretty well saturated instead of just on the surface like other candles. Scent remains continuous throughout burn time. Love that about Yankee."", ""ratingValue"": 4}, {""datePublished"": ""2025-03-10T23:03:44.000+00:00"", ""reviewBody"": ""Lovely scent that radiates spring. Has a very nice hot throw and fills my whole kitchen space."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-10T23:03:55.000+00:00"", ""reviewBody"": ""Received today and the scent is fresh and has a slight floral smell. I paired with Lilac blossoms and they are beautiful together."", ""ratingValue"": 4}, {""datePublished"": ""2025-03-10T23:04:09.000+00:00"", ""reviewBody"": ""this is the second scent profile that smells like spring to me, so I like to pick it up sometime around February when we are all sick and tired of winter in the Midwest."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-10T23:04:39.000+00:00"", ""reviewBody"": ""A fresh springtime scent of clovers, grasses, violets and other outdoor sensory treats that often come after a rain shower.  Beautiful green grass-colored candle with a good throw, while not overpowering or cloyingly sweet.  One of the first candles I put out for the Spring season."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-04T19:55:07.000+00:00"", ""reviewBody"": ""The smell was pleasant - definitely fresh with a sweet twist. Unfortunately, the fragrance was too strong for my preference/home and almost instantly gave me a headache, even with the windows open. If you\u2019re looking for a very strong \u201cFresh & Clean\u201d fragrance and have a large, open home, then you\u2019ll probably enjoy Meadow Showers. I was hoping for a more subtle, earthy fragrance, though, and won\u2019t be repurchasing."", ""ratingValue"": 3}, {""datePublished"": ""2025-03-03T15:33:44.000+00:00"", ""reviewBody"": ""Well, it's no Greenhouse but it's good. If they ever bring Greenhouse back I'll go broke anyway. I was recommended this  when I mentioned how much I loved Greenhouse. It's nice and fresh but reminds me more of fresh cut grass. I like it but still wait for Greenhouse to return!"", ""ratingValue"": 3}]"
